,dataset,start_age,end_age,sex,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
828,droplet,3m,30m,male,Pabpc1l,2.845381736755371,1.1505377415232942e-06,8.268875717476476e-06,4.302279558032751e-05,4.6748425156710874e-07
832,droplet,3m,30m,male,Gm14548,2.8390581607818604,1.1463921509857755e-06,8.203046490962151e-06,4.2484090954530984e-05,7.363138796614196e-07
427,droplet,24m,30m,male,Msr1,2.836716890335083,3.0388425784622086e-06,2.1709269276470877e-05,9.369920007884502e-05,1.9301698230128446e-60
495,droplet,3m,24m,male,Rad51ap1,2.8333580493927,1.3083706562611042e-06,9.325171959062573e-06,4.2803007090697065e-05,1.052063996658318e-09
836,droplet,3m,30m,male,Ifi205,2.831392765045166,4.447107585292542e-06,3.165278030792251e-05,0.0002571609220467508,2.9663990835809255e-67
468,droplet,3m,18m,male,Ccl11,2.8312790393829346,3.276773713878356e-05,0.00023320956097450107,0.0012578859459608793,4.53873148007218e-111
428,droplet,24m,30m,male,Thnsl2,2.828791379928589,1.7800845171223045e-06,1.2647128642129246e-05,6.744299025740474e-05,4.822251618636373e-20
498,droplet,3m,24m,male,Ltb4r1,2.8285818099975586,5.3684343583881855e-06,3.813605144387111e-05,0.00012813937792088836,7.366017031615077e-154
469,droplet,3m,18m,female,Pclo,2.8284120559692383,1.4613844996347325e-06,1.0380103049101308e-05,7.052067667245865e-05,2.0990776614872931e-10
470,droplet,3m,18m,male,LOC100038947,2.8275773525238037,5.340477855497738e-06,3.79110497306101e-05,0.0001386321964673698,2.207375060273636e-113
114,droplet,3m,21m,female,Aplp1,2.8264636993408203,3.309745125079644e-06,2.3477128706872463e-05,0.00014360570639837533,1.7429539058744635e-51
94,droplet,18m,21m,female,Rarres1,2.8250393867492676,2.053503067145357e-06,1.4551813364960253e-05,7.22265467629768e-05,2.655871052876955e-25
838,droplet,3m,30m,male,2810417H13Rik,2.822502851486206,1.8763119442155585e-05,0.00013272817886900157,0.00033673166763037443,0.0
839,droplet,3m,30m,male,9130017N09Rik,2.8220295906066895,2.038069396803621e-06,1.4412346899916884e-05,0.00010103141539730132,4.732557987855409e-24
502,droplet,3m,24m,male,Kcna5,2.8186087608337402,1.2670188880292699e-06,8.938593055063393e-06,7.556308264611289e-05,2.249290303372663e-07
46,facs,3m,18m,female,Crlf2,2.8159539699554443,4.911701580567751e-06,3.458746141404845e-05,0.00010446531814523041,3.285562528292571e-116
504,droplet,3m,24m,male,Pglyrp1,2.815908432006836,6.366353773046285e-05,0.0004482947406359017,0.001242267549969256,0.0
477,droplet,3m,18m,male,Cd8a,2.8154332637786865,7.581319550808985e-06,5.3367239161161706e-05,0.00036905601155012846,7.219538555286161e-59
429,droplet,24m,30m,male,Fitm1,2.811501979827881,1.4259869658417301e-06,1.0010649930336513e-05,6.716045027133077e-05,4.5517068743292106e-11
846,droplet,3m,30m,male,Plk1,2.8109750747680664,2.3333086573984474e-06,1.6374202459701337e-05,6.620959902647883e-05,1.9387454678869618e-35
849,droplet,3m,30m,male,Ube2c,2.8077447414398193,3.1012103136163205e-05,0.0002171433879993856,0.0007995947962626815,0.0
47,facs,3m,18m,female,Slc3a1,2.80718731880188,2.8932727218489163e-06,2.0250559828127734e-05,0.0002507781609892845,5.3944188251580415e-11
511,droplet,3m,24m,male,Kifc1,2.8057708740234375,1.4952116771382862e-06,1.0455001756781712e-05,5.2969942771596834e-05,1.3735364314049275e-12
481,droplet,3m,18m,male,Gp49a,2.802964687347412,8.48987929202849e-06,5.924858487560414e-05,0.00018882092263083905,1.5407152914045065e-196
482,droplet,3m,18m,male,Tm4sf4,2.801999092102051,3.2300595194101334e-06,2.2526639440911822e-05,0.0001589138846611604,8.33888847560751e-34
854,droplet,3m,30m,male,Cox6a2,2.7968485355377197,3.5844127523887437e-06,2.4908833438530564e-05,0.00032438954804092646,3.6949998048221235e-28
855,droplet,3m,30m,male,Csrp3,2.795755624771118,1.610595404599735e-06,1.1183893548150081e-05,0.0002439949312247336,9.310641013792059e-06
514,droplet,3m,24m,male,Slc25a37,2.793492317199707,1.7088446838897653e-05,0.00011847524729091674,0.0004122887330595404,0.0
483,droplet,3m,18m,male,Tmcc2,2.7891933917999268,4.938638994644862e-06,3.413801459828392e-05,0.0002885649155359715,7.690345065832255e-36
858,droplet,3m,30m,male,Gapt,2.7863423824310303,1.448077568966255e-06,9.989982572733425e-06,4.561548848869279e-05,1.60728864219164e-11
