,Unnamed: 0,index,dataset,start_age,end_age,sex,tissue,subtissue,cell_ontology_class,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value,uniprot_mouse,uniprot_daphnia
4184,2991,566,droplet,3m,24m,male,Kidney,,,Cd19,6.49845027923584,2.065694388875272e-06,0.00018676469335332518,0.0002841565874405205,0.0,P25918,
4185,15347,615,droplet,3m,30m,male,Lung,,,Twist2,-6.498159408569336,1.771942152117845e-05,1.960227109520929e-07,7.878736505517736e-05,3.123346253433611e-14,Q9D030,
4186,15348,616,droplet,3m,30m,male,Lung,,,Cpxm1,-6.4955668449401855,8.517868991475552e-05,9.439958148504958e-07,0.0001830894179875031,9.713447969451234e-93,Q9Z100,
4187,15349,617,droplet,3m,30m,male,Liver,,,Itih3,-6.495078086853027,0.0003851611982099712,4.270012595952721e-06,0.00041369494283571834,8.663619881354007e-81,Q61704,E9G1W7
4188,19862,622,droplet,24m,30m,male,Kidney,,,Ptrf,6.493159294128418,3.4104485280295194e-07,3.072193430853076e-05,0.00012113557750126348,1.5899456329826927e-52,,
4189,11981,87,droplet,3m,18m,male,Lung,,,Gpr182,6.4930686950683585,3.762433493648132e-07,3.389053381397389e-05,0.00014121310960035768,3.572422107333548e-27,P43142,
4190,19863,623,droplet,24m,30m,male,Kidney,,,Papss2,6.492959976196289,1.4718551710757308e-06,0.00013256871898192912,0.00021554873092100024,0.0,O88428,
4191,15350,618,droplet,3m,30m,male,Lung,,,Vasn,-6.492218971252441,5.7492117775836966e-05,6.386382551681891e-07,0.0001320285809924826,1.3664358368207869e-76,Q9CZT5,
4192,9345,66,facs,3m,24m,male,BAT,,,Tcp11,6.491921424865723,6.449483294090895e-07,5.8048186474479735e-05,0.00025177357019856567,6.897520410077131e-06,Q01755,
4193,15351,619,droplet,3m,30m,male,Lung,,,Prkg1,-6.4918456077575675,4.094609175808728e-05,4.549579557533434e-07,0.00012219822383485734,4.8159259773448525e-43,P0C605,
