,index,dataset,start_age,end_age,sex,tissue,subtissue,cell_ontology_class,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
62353,83,droplet,3m,18m,male,,,,Rag1,8.540299415588379,2.9016948843718637e-08,1.0803211807797197e-05,0.00011697320587700233,2.84995688419543e-12
53306,273,droplet,24m,30m,male,Kidney,,,Spsb4,8.535418510437012,9.73942988480303e-08,3.613724766182713e-05,8.799629722489044e-05,3.18186524809511e-116
11434,284,droplet,3m,24m,male,Kidney,,,Hba-a1,8.53421401977539,1.1004034661254991e-07,4.0795323002384976e-05,0.00016987980052363127,7.211484761759382e-56
79009,62,facs,3m,18m,male,Trachea,,chondrocyte,Tob2,-8.5337495803833,9.85794176813215e-05,2.659928100001707e-07,9.890980436466634e-05,1.4145686909587765e-19
53307,274,droplet,24m,30m,male,Kidney,,,Afm,8.533097267150879,3.132862502752687e-08,1.1605756299104542e-05,5.1019851525779814e-05,1.7093469336277034e-16
64134,35,droplet,3m,21m,female,,,,Ctrl,8.530424118041992,3.6776597767129715e-07,0.0001359835296170786,0.0019351408118382096,2.288781545511527e-34
53308,275,droplet,24m,30m,male,Kidney,,,Fat1,8.528974533081055,5.652002954548152e-08,2.0877911083516665e-05,6.479314470198005e-05,1.0031560612498856e-50
11435,285,droplet,3m,24m,male,Kidney,,,Ces1d,-8.527387619018555,0.00010348246723879129,2.8045673161614104e-07,0.00021352451585698873,2.1218116969685253e-56
53309,276,droplet,24m,30m,male,Liver,,,Elovl3,-8.527310371398926,0.00037174412864260375,1.0075519867314142e-06,0.000565608439501375,1.2844739834302158e-07
11436,286,droplet,3m,24m,male,Kidney,,,Slc9a3r2,-8.525039672851562,0.0002474331995472312,6.716836651321501e-07,0.0005875880597159266,9.043902068555277e-43
109184,34,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Ppil4,-8.524406433105469,8.547319885110483e-05,2.321272773997407e-07,2.2485724912257865e-05,9.09197988606094e-06
17388,270,facs,3m,18m,female,Liver,,,Chsy1,8.523536682128906,3.158330343921989e-07,0.00011622491001617163,0.00030789707670919597,8.983136547529758e-13
